census_year,HEI_code,HEI_name,administrative_structure,academic_status,maintainer_code,headquarters_region,headquarters_state,headquarters_city,institution_type,own_revenue,transferred_revenue,other_revenue,faculty_expenses,staff_expenses,social_contribution_expenses,cost_expenses,investment_expenses,research_expenses,other_expenses
2019,2773,FACULDADE DE MACAPÁ,private_for_profit,faculty,14514,1,16,1600303,1,1778479903.74,0,163312686.14,402749803.74,3656481.79,127735617.68,615778363.14,270642956.74,6178334.17,596795160.1
2019,2774,Centro Universitário UNIFAFIBE,private_nonprofit,university_center,96,3,35,3506102,2,34636133.35,0,3062132.23,7812442.32,3330950.59,8643887.54,5337031.62,2154268.47,156569.95,3408.27
2019,2775,Faculdades Integradas Desembargador Sávio Brandão,private_for_profit,faculty,16063,5,51,5108402,2,2796854.52,0,0,491714.79,122277.63,165777.95,890497.88,269154.7,74726.96,736294.09
2019,2779,FACULDADE DE INFORMÁTICA DE OURO PRETO DO OESTE,private_nonprofit,faculty,1491,1,11,1100155,1,7390585,0,0,1690576,871984.7,669930.5,355900,0,65000,565000
2019,2783,FACULDADE DE TECNOLOGIA DO NORDESTE,private_for_profit,faculty,17431,2,23,2304400,2,2083545.57,0,3966,904859.8,593006.03,540643.29,27081.19,0,0,520545.48
2019,2787,FACULDADES PEQUENO PRÍNCIPE,private_nonprofit,faculty,1812,4,41,4106902,2,56085497,0,0,12924000,3460016,6023822,0,0,0,6029984
2019,2791,FACULDADE DE CIÊNCIAS AGRÁRIAS E EXATAS DE PRIMAVERA DO LESTE,private_for_profit,faculty,15801,5,51,5107040,1,235576253.14,0,9846318.49,38299090.19,332011.78,21596693.76,33641660.52,14278029.08,0,55462452.13
2019,2793,FACULDADE UBS,private_for_profit,faculty,1817,3,35,3550308,1,167313.68,0,0,103241.09,57688,127769.21,164527.89,0,0,81386
2019,2794,FACULDADE DE CIÊNCIAS SOCIAIS E HUMANAS SOBRAL PINTO,private_for_profit,faculty,15801,5,51,5107602,1,235576253.14,0,9846318.49,38299090.19,332011.78,21596693.76,33641660.52,14278029.08,0,55462452.13
2019,2796,FACULDADE DE IPORÁ,private_for_profit,faculty,1820,5,52,5210208,1,8271686.08,0,53143.35,1090784.69,491763.75,0,0,201305.42,36176.18,5376083.1
