HEI_code,HEI_name,fac_qual,sci_work,acad_manag,spat_dist,train_offer,employment,acad_form,legal_system,ownership,tec_prof,logic_train,logic_schol,logic_relig,logic_comm,logic_market,logic_state,logic_number
438,FACULDADE DE FILOSOFIA CIÊNCIAS E LETRAS DE ITUVERAVA,0.265957446808511,0,0.0106382978723404,3,0,0.0106382978723404,faculty,private,communitary,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,3
439,FACULDADE DOUTOR FRANCISCO MAEDA,0.488372093023256,0.697674418604651,0.162790697674419,1,0,0.325581395348837,faculty,private,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
440,FACULDADE DE DIREITO DE ITÚ,0.2,0,0.142857142857143,1,0,0,faculty,private,,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,2
441,UNIVERSIDADE DO CONTESTADO,0.152882205513784,0.293233082706767,0.152882205513784,7,6,0.200501253132832,university,private,,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2
446,UNIVERSIDADE DE CRUZ ALTA,0.35,0.288888888888889,0.183333333333333,1,1,0.333333333333333,university,private,communitary,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,3
448,CENTRO UNIVERSITÁRIO RITTER DOS REIS,0.261096605744125,0.0417754569190601,0,5,31,0.331592689295039,university_center,private,,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,3
449,UNIVERSIDADE LUTERANA DO BRASIL,0.254739336492891,0.12914691943128,0.417061611374408,10,36,0.360189573459716,university,private,confessional,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,3
450,Centro Universitário São Lucas Ji-Paraná,0.2,0.1625,0.5625,1,0,0.2375,university_center,private,confessional,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,4
451,CENTRO UNIVERSITÁRIO LUTERANO DE SANTARÉM,0.0285714285714286,0.0428571428571429,0.214285714285714,1,0,0.228571428571429,university_center,private,confessional,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,4
452,CENTRO UNIVERSITÁRIO LUTERANO DE MANAUS,0.175438596491228,0.087719298245614,0.964912280701754,1,1,0.350877192982456,university_center,private,confessional,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,4
