program_code,HEI_code,active,program_name,campus_code,program_cine_code,degree_type,program_type,course_load,percent_dist,students_enrolled
51676,1426,active,DIREITO,658472,0421D01,bachelor,classroom,3940,0,305
51678,1124,active,DIREITO,1081467,0421D01,bachelor,classroom,4320,0,387
51681,265,active,DIREITO,700564,0421D01,bachelor,classroom,4016,0,486
51683,1444,active,FISIOTERAPIA,1683,0915F01,bachelor,classroom,4800,0,145
51687,1789,active,DIREITO,658767,0421D01,bachelor,classroom,4376,0,183
51694,1459,active,ADMINISTRAÇÃO,106015,0413A01,bachelor,classroom,3240,0,130
51699,699,active,MEDICINA,136746,0912M01,bachelor,classroom,7983,0,247
51701,1883,active,ODONTOLOGIA,105059,0911O01,bachelor,classroom,4000,20,631
51715,1944,active,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,1081343,0615S02,technology,classroom,2010,20,47
51719,1945,active,ADMINISTRAÇÃO,658894,0413A01,bachelor,classroom,3000,18,118
51721,1946,active,CIÊNCIAS CONTÁBEIS,658895,0411C01,bachelor,classroom,3006,0,162
51724,5285,active,ENGENHARIA DE PRODUÇÃO,660041,0725E02,bachelor,classroom,3720,0,156
51741,1949,active,QUÍMICA,658897,0531Q01,bachelor,classroom,3480,20,143
51743,3368,active,FISIOTERAPIA,1043237,0915F01,bachelor,classroom,4610,10,169
51746,15,active,ENGENHARIA DE PRODUÇÃO,701496,0725E02,bachelor,classroom,4320,20,179
51750,3368,active,NUTRIÇÃO,1043237,0915N01,bachelor,classroom,3200,14.86,110
51756,1951,active,HISTÓRIA,658899,0114H01,license,classroom,2840,0,8
51760,1951,active,ADMINISTRAÇÃO,658899,0413A01,bachelor,classroom,3084,0,3
51761,1941,extinction,TURISMO,658891,1015T01,bachelor,classroom,2540,0,10
51770,1952,active,CIÊNCIAS CONTÁBEIS,658900,0411C01,bachelor,classroom,3000,20,177
51797,3840,active,EDUCAÇÃO FÍSICA,659130,0114E03,license,classroom,2800,0,205
51805,3840,active,HISTÓRIA,659130,0114H01,license,classroom,5700,0,215
51810,1956,active,EDUCAÇÃO FÍSICA,1078017,0114E03,license,classroom,3320,20,67
51816,1957,active,MECATRÔNICA INDUSTRIAL,658902,0714M01,technology,classroom,2448,20,88
51820,1958,active,PRODUÇÃO DE VESTUÁRIO,658903,0723P01,technology,classroom,2690,20,1
51829,5439,active,DIREITO,25918,0421D01,bachelor,classroom,3700,2,907
51835,5439,active,MEDICINA,25918,0912M01,bachelor,classroom,7720,0,837
51839,1961,active,ADMINISTRAÇÃO,658904,0413A01,bachelor,classroom,3400,0,183
51843,1961,active,FISIOTERAPIA,658904,0915F01,bachelor,classroom,5280,0,320
51854,3193,active,FISIOTERAPIA,146555,0915F01,bachelor,classroom,4000,1,159
51860,1964,active,HOTELARIA,658906,1015H01,technology,classroom,1760,20,141
51864,1965,active,ANÁLISE E DESENVOLVIMENTO DE SISTEMAS,658907,0615S02,technology,classroom,2010,20,84
51871,1966,active,ADMINISTRAÇÃO,1071747,0413A01,bachelor,classroom,3026,0,84
51876,1967,active,CIÊNCIAS CONTÁBEIS,1034694,0411C01,bachelor,classroom,3000,0,58
51878,430,active,TEOLOGIA,657888,0221T01,bachelor,classroom,2400,20,52
51884,1968,active,LETRAS - PORTUGUÊS E INGLÊS,1075637,0115L15,license,classroom,3480,20,15
