HEI_code,students_total,students_bachelor,students_license,students_technology,students_base_cycle,students_certification,students_classroom,students_distance,dist_load,campi,census_year,HEI_name,administrative_structure,academic_status,maintainer_code,headquarters_region,headquarters_state,headquarters_city,institution_type,own_revenue,transferred_revenue,other_revenue,faculty_expenses,staff_expenses,social_contribution_expenses,cost_expenses,investment_expenses,research_expenses,other_expenses,teaching_bac_dist,teaching_bac_pres,teaching_post_dist,teaching_post_pres,service_external,service_management,research,research_w_funding,full_time_ex,full_time_nex,part_time,hourly_contract,doctor,master,specialist,bachelor,none,active,communitary,confessional,filantropic
14243,217,1,0,0,0,0,1,0,0,1,2019,Faculdade Presidente Antônio Carlos de Itabirito,private_nonprofit,faculty,221,3,31,3131901,2,2744923,0,63348,557877,371918,260489,0,175757,0,2972,0,1,0,0,0.272727272727273,0,0.363636363636364,0,0,0,0.363636363636364,0.636363636363636,0.363636363636364,0.545454545454545,0.0909090909090909,0,0,TRUE,FALSE,FALSE,FALSE
14246,551,3,1,2,0,0,6,0,0.2,1,2019,Faculdade Presidente Antônio Carlos de Uberaba,private_nonprofit,faculty,221,3,31,3170107,2,5233164,0,333660,1322995,881997,623937,2196451,5288,0,218600,0,1,0,0,1,0,1,0,0,0.0975609756097561,0.292682926829268,0.609756097560976,0.0975609756097561,0.365853658536585,0.536585365853659,0,0,TRUE,FALSE,FALSE,FALSE
14248,2656,12,1,3,0,0,16,0,0.09625,4,2019,Faculdade Presidente Antônio Carlos de Uberlândia,private_nonprofit,faculty,221,3,31,3170206,2,21841903,4435000,160253,5061822,3374548,2550180,14268272,0,0,69901,0,1,0,0,0.421052631578947,0,0.0526315789473684,0,0,0.0789473684210526,0.342105263157895,0.578947368421053,0.157894736842105,0.447368421052632,0.394736842105263,0,0,TRUE,FALSE,FALSE,FALSE
14288,79,1,0,0,0,0,1,0,0,1,2019,FACULDADE CATÓLICA DE SANTA CATARINA,private_nonprofit,faculty,2121,4,42,4205407,2,1824845.72,0,124859.6,703465.27,459987.49,209274.24,339488.08,152665.68,29513.99,22037.35,0,0.842105263157895,0,0,0,0.368421052631579,0,0,0,0,0.368421052631579,0.631578947368421,0.631578947368421,0.210526315789474,0.0526315789473684,0.105263157894737,0,TRUE,FALSE,TRUE,FALSE
14297,177,9,1,3,0,0,13,0,0.2,2,2019,Faculdade Unirb - Parnaíba,private_for_profit,faculty,13316,2,22,2207702,2,809678,0,0,352074,88017,145230,51576,0,15303,61374,0,1,0,0,1,0,0,0,0,0.333333333333333,0.666666666666667,0,0.416666666666667,0.583333333333333,0,0,0,TRUE,FALSE,FALSE,FALSE
14303,18,1,0,3,0,0,4,0,0,1,2019,FACULDADE PADRAO DE SENADOR CANEDO,private_for_profit,faculty,1544,5,52,5220454,2,79956,0,0,21600,19800,7920,0,0,500,0,0,1,0,0,0.666666666666667,0.166666666666667,0,0,0,0.166666666666667,0.833333333333333,0,0.333333333333333,0.666666666666667,0,0,0,TRUE,FALSE,FALSE,FALSE
14313,880,5,0,0,0,0,5,0,0,1,2019,NOVA FACULDADE,private_for_profit,faculty,13331,3,31,3118601,2,7138941.41,191819.06,0,2189580.26,1378258.63,2441191.49,2626384.49,0,0,112300.02,0,1,0,0,0.05,0.3,0.0166666666666667,0,0,0.0166666666666667,0.383333333333333,0.6,0.15,0.5,0.35,0,0,TRUE,FALSE,FALSE,FALSE
14321,6820,16,1,1,0,0,18,0,0,2,2019,CENTRO UNIVERSITÁRIO MAURÍCIO DE NASSAU,private_for_profit,university_center,1847,2,23,2304400,1,501481482.63,0,4390859.23,91041189.93,56981871.96,93066796.38,41174925.96,9123227.09,0,234868087.27,0,1,0,0,0,0,0,0,0,0.377483443708609,0.28476821192053,0.337748344370861,0.357615894039735,0.596026490066225,0.0463576158940397,0,0,TRUE,FALSE,FALSE,FALSE
14342,558,8,0,1,0,0,9,0,0,1,2019,FACULDADE REDENTOR DE CAMPOS,private_nonprofit,faculty,1671,3,33,3301009,1,131388395.13,0,2115033.89,31707288.83,4965071.09,16512854.4,25648572.6,7815703.2,14030118.19,28083015.41,0,1,0,0,0,0.117647058823529,0.0882352941176471,0,0,0.0735294117647059,0.926470588235294,0,0.235294117647059,0.602941176470588,0.161764705882353,0,0,FALSE,FALSE,FALSE,FALSE
14383,26,0,2,1,0,0,3,0,0,1,2019,Faculdade CNEC de Educação de Uberaba,private_nonprofit,faculty,407,3,31,3170107,1,349236270.81,494225.04,24635308.31,148751181.65,61371761.13,5298224.23,16906426.05,4196128.03,0,96667425.6,0,1,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0,0.666666666666667,0,0,TRUE,FALSE,FALSE,FALSE
